08109,Saguache County,CO,6136,6177,6320,6232,6186,6239,6407,6626
08111,San Juan County,CO,708,690,692,691,711,688,689,715
08113,San Miguel County,CO,7356,7469,7561,7598,7704,7785,7964,7967
08115,Sedgwick County,CO,2368,2366,2373,2335,2329,2370,2405,2344
08117,Summit County,CO,28068,27988,28229,28655,29186,29852,30332,30585
08119,Teller County,CO,23465,23363,23439,23351,23431,23377,24040,24646
08121,Washington County,CO,4823,4763,4701,4743,4732,4787,4846,4938
08123,Weld County,CO,254182,258528,263754,269804,275584,284382,294243,304633
08125,Yuma County,CO,10052,10098,10076,10112,10175,10064,10118,10075
09001,Fairfield County,CT,919749,929398,936345,942865,946547,948116,949191,949921
09003,Hartford County,CT,895504,897778,898572,899765,898810,897626,895497,895388
09005,Litchfield County,CT,189829,189076,187685,187062,185585,184349,183097,182177
09007,Middlesex County,CT,165625,166265,165519,165293,164717,163698,163433,163410
09009,New Haven County,CT,863618,864725,865335,864558,864073,861594,859973,860435
09011,New London County,CT,274036,273226,274280,273388,271864,270266,269307,269033
09013,Tolland County,CT,153214,153063,151973,151908,151748,151717,151145,151461
09015,Windham County,CT,118596,118396,117996,117631,116844,116496,116042,116359
10001,Kent County,DE,162973,165149,167442,169150,171664,173332,174754,176824
10003,New Castle County,DE,538831,542282,546120,549486,552465,555587,557851,559793
10005,Sussex County,DE,197908,200453,203306,206478,210676,215188,220093,225322
11001,District of Columbia,District of Columbia,605040,620336,635630,650114,660797,672736,684336,693972
12001,Alachua County,FL,247606,249832,251654,252704,255809,259525,264341,266944
12003,Baker County,FL,27062,27042,27043,27000,27123,27364,27915,28283
12005,Bay County,FL,169207,169521,171755,174626,178221,181184,182992,183563
12007,Bradford County,FL,28536,28432,27050,26806,26559,26744,26728,27038
12009,Brevard County,FL,543976,544439,547293,550754,556277,566822,577899,589162
12011,Broward County,FL,1752907,1787691,1816837,1840561,1866837,1891684,1917122,1935878
12013,Calhoun County,FL,14646,14714,14663,14578,14452,14414,14361,14483
12015,Charlotte County,FL,159869,159881,162833,164830,168336,172824,178157,182033
12017,Citrus County,FL,141178,139765,139198,138865,138920,140443,142990,145647
12019,Clay County,FL,191433,192290,193892,195735,198719,202529,207240,212230
12021,Collier County,FL,322601,327667,332556,339483,348216,357194,366095,372880
12023,Columbia County,FL,67556,67309,67886,67429,67851,68255,69274,69612
12027,DeSoto County,FL,34936,34794,34952,34840,35271,35475,35925,36862
12029,Dixie County,FL,16401,16403,16152,16080,16034,16351,16477,16673
12031,Duval County,FL,865659,872405,880526,886595,897679,911626,926380,937934
12033,Escambia County,FL,298036,299366,303467,306767,308103,309529,311711,313512
12035,Flagler County,FL,96071,97485,98506,99901,102118,104739,107805,110510
12037,Franklin County,FL,11522,11469,11608,11519,11644,11684,11799,11727
12039,Gadsden County,FL,47795,47355,46568,46071,46147,46119,46155,46071
12041,Gilchrist County,FL,17001,16993,16889,16904,16936,17164,17210,17743
12043,Glades County,FL,12873,12833,12671,12677,12965,13130,13460,13754
12045,Gulf County,FL,15824,15760,15769,15883,16006,15940,16100,16160
12047,Hamilton County,FL,14683,14591,14721,14340,14071,14272,14324,14184
12049,Hardee County,FL,27725,27657,27412,27286,27303,27257,27371,27411
12051,Hendry County,FL,39015,38941,37846,37767,38473,39094,39640,40347
12053,Hernando County,FL,172963,172836,172754,173706,175347,177883,182231,186553
12055,Highlands County,FL,98635,98451,98205,98071,98482,99891,101558,102883
12057,Hillsborough County,FL,1233557,1271239,1282378,1294828,1319511,1350904,1381627,1408566
12059,Holmes County,FL,19845,19839,19695,19598,19570,19284,19407,19558
12061,Indian River County,FL,138275,139086,140499,141942,144571,147629,151382,154383
12063,Jackson County,FL,49646,49184,49103,48875,48729,48627,48292,48330
12065,Jefferson County,FL,14748,14519,14209,14201,14046,14099,13933,14144
12067,Lafayette County,FL,8810,8800,8793,8819,8841,8655,8654,8451
12069,Lake County,FL,297704,300511,303833,308146,315780,325699,335431,346017
12071,Lee County,FL,620467,631077,644580,660431,678241,700421,722506,739224
12073,Leon County,FL,275971,278349,283642,281940,283931,286211,287074,290292
12075,Levy County,FL,40724,40154,39826,39439,39312,39610,39851,40355
12077,Liberty County,FL,8348,8261,8298,8356,8416,8404,8319,8242
12079,Madison County,FL,19248,19126,18973,18757,18606,18472,18306,18449
12081,Manatee County,FL,323439,327543,334012,342116,351401,363059,375563,385571
12083,Marion County,FL,331344,332307,334004,335274,338368,342757,348139,354353
12085,Martin County,FL,146916,147876,149028,151219,153246,155721,158484,159923
12086,Miami-Dade County,FL,2507228,2571532,2607800,2643934,2674754,2705982,2736543,2751796
12087,Monroe County,FL,73219,73981,74627,75914,76492,77003,77304,77013
12089,Nassau County,FL,73520,74146,74521,75397,76242,77891,79922,82721
12091,Okaloosa County,FL,180714,183080,189789,192735,194628,197709,199915,202970
12093,Okeechobee County,FL,40030,39854,39700,39469,39563,39807,40697,41605
12095,Orange County,FL,1148696,1170765,1203532,1228274,1258227,1292008,1323598,1348975
12097,Osceola County,FL,269852,278733,289194,299735,311748,324189,337990,352180
12099,Palm Beach County,FL,1323753,1337065,1356257,1378497,1402065,1428378,1453768,1471150
12101,Pasco County,FL,465490,466502,469905,474782,484048,495648,510561,525643
12103,Pinellas County,FL,916490,918565,922150,929214,937933,949321,962106,970637
12105,Polk County,FL,603135,609924,615639,622981,635152,649644,667018,686483
12107,Putnam County,FL,74204,73635,72913,72366,71983,71957,72404,73464
12109,St. Johns County,FL,191236,196079,202077,209479,217977,226576,235046,243812
12111,St. Lucie County,FL,278277,280487,283189,285708,290594,297929,306079,313506
12113,Santa Rosa County,FL,152911,155727,158205,160421,162768,166365,170063,174272
12115,Sarasota County,FL,379944,382263,386647,390270,396779,405148,412879,419119
12117,Seminole County,FL,423065,426415,430855,436020,442174,449132,456314,462659
12119,Sumter County,FL,94279,97976,101698,106942,112334,117210,122121,125165
